 16 requests sent |   4080 bytes sent |   46825 echo time
 16 requests sent |   4080 bytes sent |   32797 echo time
 16 requests sent |   4080 bytes sent |   11137 echo time
 16 requests sent |   4080 bytes sent |   36750 echo time
 17 requests sent |   4335 bytes sent |    7183 echo time
 17 requests sent |   4335 bytes sent |   14743 echo time
 17 requests sent |   4335 bytes sent |   40078 echo time
 17 requests sent |   4335 bytes sent |    6130 echo time
 17 requests sent |   4335 bytes sent |   68877 echo time
 17 requests sent |   4335 bytes sent |   30667 echo time
 17 requests sent |   4335 bytes sent |   16059 echo time
 17 requests sent |   4335 bytes sent |      43 echo time
 18 requests sent |   4590 bytes sent |    2938 echo time
 18 requests sent |   4590 bytes sent |   15320 echo time
 18 requests sent |   4590 bytes sent |   14689 echo time
 18 requests sent |   4590 bytes sent |   27630 echo time
 18 requests sent |   4590 bytes sent |    7400 echo time
 18 requests sent |   4590 bytes sent |   14578 echo time
 18 requests sent |   4590 bytes sent |   48124 echo time
 18 requests sent |   4590 bytes sent |   48996 echo time
 19 requests sent |   4845 bytes sent |   16013 echo time
 19 requests sent |   4845 bytes sent |   59106 echo time
 19 requests sent |   4845 bytes sent |   75140 echo time
 19 requests sent |   4845 bytes sent |   54340 echo time
 19 requests sent |   4845 bytes sent |   63178 echo time
 19 requests sent |   4845 bytes sent |       0 echo time
 19 requests sent |   4845 bytes sent |    3580 echo time
 19 requests sent |   4845 bytes sent |   45904 echo time
 20 requests sent |   5100 bytes sent |   50514 echo time
 20 requests sent |   5100 bytes sent |   30550 echo time
 20 requests sent |   5100 bytes sent |   15174 echo time
 20 requests sent |   5100 bytes sent |    8506 echo time
 20 requests sent |   5100 bytes sent |   52375 echo time
 20 requests sent |   5100 bytes sent |   19931 echo time
 20 requests sent |   5100 bytes sent |   42103 echo time
 20 requests sent |   5100 bytes sent |   59792 echo time
 21 requests sent |   5355 bytes sent |   24323 echo time
 21 requests sent |   5355 bytes sent |   24986 echo time
 21 requests sent |   5355 bytes sent |   46887 echo time
 21 requests sent |   5355 bytes sent |   60054 echo time
 21 requests sent |   5355 bytes sent |   47581 echo time
 21 requests sent |   5355 bytes sent |   10527 echo time
 21 requests sent |   5355 bytes sent |   74975 echo time
 21 requests sent |   5355 bytes sent |   23122 echo time
 22 requests sent |   5610 bytes sent |   19586 echo time
 22 requests sent |   5610 bytes sent |   24507 echo time
 22 requests sent |   5610 bytes sent |    4405 echo time
 22 requests sent |   5610 bytes sent |      44 echo time
 22 requests sent |   5610 bytes sent |   39537 echo time
 22 requests sent |   5610 bytes sent |   43503 echo time
 22 requests sent |   5610 bytes sent |   25551 echo time
 22 requests sent |   5610 bytes sent |   60053 echo time
 23 requests sent |   5865 bytes sent |   12660 echo time
 23 requests sent |   5865 bytes sent |   38660 echo time
 23 requests sent |   5865 bytes sent |   12398 echo time
 23 requests sent |   5865 bytes sent |   26783 echo time
 23 requests sent |   5865 bytes sent |   27958 echo time
 23 requests sent |   5865 bytes sent |   11442 echo time
 23 requests sent |   5865 bytes sent |   57844 echo time
 23 requests sent |   5865 bytes sent |   68353 echo time
 24 requests sent |   6120 bytes sent |    6992 echo time
 24 requests sent |   6120 bytes sent |     264 echo time
 24 requests sent |   6120 bytes sent |     142 echo time
 24 requests sent |   6120 bytes sent |   54527 echo time
 24 requests sent |   6120 bytes sent |     186 echo time
 24 requests sent |   6120 bytes sent |     309 echo time
 24 requests sent |   6120 bytes sent |    9273 echo time
 24 requests sent |   6120 bytes sent |   53447 echo time
 25 requests sent |   6375 bytes sent |   15695 echo time
 25 requests sent |   6375 bytes sent |   15863 echo time
 25 requests sent |   6375 bytes sent |   15363 echo time
 25 requests sent |   6375 bytes sent |    7389 echo time
 25 requests sent |   6375 bytes sent |   12065 echo time
 25 requests sent |   6375 bytes sent |   12389 echo time
